 1.778279e+00 -3.293584e+01  1.778279e+00 -5.498714e-06 
 1.782379e+00 -3.293584e+01  1.782379e+00 -5.511390e-06 
 1.786488e+00 -3.293584e+01  1.786488e+00 -5.524095e-06 
 1.790606e+00 -3.293584e+01  1.790606e+00 -5.536829e-06 
 1.794734e+00 -3.293584e+01  1.794734e+00 -5.549593e-06 
 1.798871e+00 -3.293584e+01  1.798871e+00 -5.562386e-06 
 1.803018e+00 -3.293584e+01  1.803018e+00 -5.575209e-06 
 1.807174e+00 -3.293584e+01  1.807174e+00 -5.588061e-06 
 1.811340e+00 -3.293584e+01  1.811340e+00 -5.600943e-06 
 1.815516e+00 -3.293584e+01  1.815516e+00 -5.613854e-06 
 1.819701e+00 -3.293584e+01  1.819701e+00 -5.626795e-06 
 1.823896e+00 -3.293584e+01  1.823896e+00 -5.639766e-06 
 1.828100e+00 -3.293584e+01  1.828100e+00 -5.652767e-06 
 1.832314e+00 -3.293584e+01  1.832314e+00 -5.665798e-06 
 1.836538e+00 -3.293584e+01  1.836538e+00 -5.678859e-06 
 1.840772e+00 -3.293584e+01  1.840772e+00 -5.691951e-06 
 1.845015e+00 -3.293584e+01  1.845015e+00 -5.705072e-06 
 1.849269e+00 -3.293584e+01  1.849269e+00 -5.718223e-06 
 1.853532e+00 -3.293584e+01  1.853532e+00 -5.731405e-06 
 1.857804e+00 -3.293584e+01  1.857804e+00 -5.744618e-06 
 1.862087e+00 -3.293584e+01  1.862087e+00 -5.757860e-06 
 1.866380e+00 -3.293584e+01  1.866380e+00 -5.771133e-06 
 1.870682e+00 -3.293584e+01  1.870682e+00 -5.784437e-06 
 1.874995e+00 -3.293584e+01  1.874995e+00 -5.797772e-06 
 1.879317e+00 -3.293584e+01  1.879317e+00 -5.811137e-06 
 1.883649e+00 -3.293584e+01  1.883649e+00 -5.824533e-06 
 1.887991e+00 -3.293584e+01  1.887991e+00 -5.837960e-06 
 1.892344e+00 -3.293584e+01  1.892344e+00 -5.851418e-06 
 1.896706e+00 -3.293584e+01  1.896706e+00 -5.864907e-06 
 1.901078e+00 -3.293584e+01  1.901078e+00 -5.878427e-06 
 1.905461e+00 -3.293584e+01  1.905461e+00 -5.891978e-06 
 1.909853e+00 -3.293584e+01  1.909853e+00 -5.905560e-06 
 1.914256e+00 -3.293584e+01  1.914256e+00 -5.919174e-06 
